"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1700020D05Rik"	25.6568663300099	-6.13412723125846	1.20625471240449	56.8860195235141	4.43974280145288e-13	1.25418381452023e-11
"1700020I14Rik"	145.150272842389	0.643536881745368	0.271008581546367	6.39357771282825	0.0408933076519221	0.124109939612648
"1700021F05Rik"	440.763953717613	-0.293414400247395	0.177167001827942	2.98843074917826	0.22442462493009	0.424929106501223
"1700021F07Rik"	47.7919294500233	0.380221058361681	0.674495162477592	0.689648483798372	0.70834483987151	0.849216761731406
"1700021K19Rik"	23527.5328329009	0.014934916128338	0.0954959625676543	3.33438247395733	0.188776550285937	0.376789287836969
"1700024P16Rik"	2942.72761995361	-0.413199334252881	0.116355339186343	144.297122851858	4.63743564097517e-32	4.63968994996731e-30
"1700025G04Rik"	770.206839589607	0.812207801465559	0.142921598077201	34.1771634138267	3.7889882730729e-08	5.72200776207141e-07
"1700025J12Rik"	9.24242156341477	-0.470068858601121	1.12278788262827	1.15773895078733	0.560531703379821	0.750170018633821
"1700028E10Rik"	35.0555967004262	0.356565876915245	0.538991057251116	0.447298588631305	0.799595507891994	0.903233785955573
"1700028I16Rik"	139.246429585412	0.366920635532381	0.31274581680878	1.98402040122667	0.370830497580385	0.588646427792046
"1700028J19Rik"	42.2232863941445	-1.03316413888286	0.499667737184926	4.41494138762748	0.109978466239373	0.258010877887168
"1700028K03Rik"	175.397000945153	-0.0614253902739634	0.259740830889535	0.0706352654930242	0.965298757062233	0.983952427230779
"1700029F12Rik"	17.9845173586422	3.58515459198098	0.951429694809486	14.7570683575095	0.000624515643698543	0.00380136883435912
"1700029J07Rik"	54.7129066620185	-0.635177862106891	0.47341467668251	1.78744373794117	0.409130186588318	0.626257819610912
"1700029P11Rik"	51.574610995319	1.39631776751696	0.489919611315051	16.0765737946753	0.000322861571653133	0.00211719010596572
"1700030A11Rik"	12.0666105867881	3.6369678505919	1.2806787429235	9.37323185155513	0.00921782724621665	0.0374932911169518
"1700030C10Rik"	101.982193132993	0.0500765907313095	0.329913372349435	72.1745357731112	2.12568393285564e-16	8.05913905806609e-15
"1700030F18Rik"	50.6958424681446	0.460365476154365	0.453573857380589	1.65005750206653	0.438222392937228	0.650739024432761
"1700030J22Rik"	1638.89188634007	0.0281371321202476	0.1111336359511	2.46756731316484	0.29118873254767	0.503801617607095
"1700030K09Rik"	2408.38806304463	0.0748467183625574	0.145969901765452	6.86918112571242	0.0322386072133225	0.103720771353805
"1700030O20Rik"	32.5494089381144	0.773317091186773	0.59762594766668	2.25847429346501	0.323279777415142	0.539436153951813
"1700031M16Rik"	5.9565995540335	-0.763045036495279	1.38814411171143	0.316043124958902	0.853831371048597	0.931528892092537
"1700034H15Rik"	16.4897364654389	-0.126902177932757	0.814261472207206	1.60840487035451	0.447444650398537	0.659134466082998
"1700034K08Rik"	74.9403361371131	-1.00471555466518	0.381124416117038	6.92617687814297	0.0313328428548467	0.101349857882752
"1700034P13Rik"	218.700715630719	0.114984478914696	0.229574952215428	0.354409622579581	0.837608215335018	0.923174275308378
"1700037H04Rik"	66.7827916958478	0.0383104005788326	0.454557328482925	0.0223907264490322	0.988867071643465	0.994458181011266
"1700039E15Rik"	99.8980062619284	-0.461438598005447	0.323962382462793	2.58056627253477	0.275192854980366	0.485691959047181
"1700047I17Rik2"	1618.814577151	1.05502309012389	0.121605810411826	118.406417728463	1.94255390581045e-26	1.48863692133038e-24
"1700047M11Rik"	11.1931030191799	2.03532675442554	1.01896161098721	4.2138785620066	0.121609610238863	0.27771089796178
"1700048M11Rik"	10.1750699983329	0.780497579746265	1.05734059546234	1.02373850300772	0.599374149991297	0.778575726167579
"1700048O20Rik"	77.5178705590864	-0.139061101690048	0.390181107268293	0.130698659305125	0.936740175095073	0.97048868852256
"1700049G17Rik"	12.9450439493454	0.533637910812127	0.964322738191129	0.406693148562319	0.815995389398312	0.910742075769941
"1700052K11Rik"	19.6719400737652	0.520522639910177	0.707550260728703	0.541046470651303	0.762980171697504	0.881778865205033
"1700056E22Rik"	225.009652266451	-0.577745077692952	0.230856097354551	10.4798637373352	0.00530061796173247	0.0237604240742625
"1700061F12Rik"	18.8079501018043	0.0361287955389773	0.717011055768193	0.0331778372990925	0.983547919749545	0.992156202200791
"1700061G19Rik"	4.39077405342767	-0.193661685524708	1.48617090359134	0.054877143646884	0.972934446306793	0.987201012245257
"1700065D16Rik"	4.67702101907971	-0.1174251717135	1.6059162190208	0.23089755767225	0.890966207394441	0.950685094795713
"1700066M21Rik"	2157.47353088991	0.339680792720858	0.129432840077389	7.06230802042485	0.02927111720061	0.0960612723255553
"1700067K01Rik"	1431.84609302606	-0.085752505557088	0.133908467205048	6.31123644523609	0.0426120491152647	0.128245621809822
"1700084E18Rik"	4.02748266074406	0.299859997094384	1.65681589100358	0.327554506298362	0.848931097549961	0.929001549931098
"1700084F23Rik"	7.3371483894069	2.55657566540651	1.32234808813473	7.54234103511008	0.023025096228255	0.0790003718410263
"1700086L19Rik"	7.29061765555378	-0.967974553827129	1.41925528179505	0.654806981570623	0.720792851070916	0.856945255436433
"1700086O06Rik"	15.0137087030405	2.04829353289816	1.0016962876919	5.12451294787888	0.0771305009684424	0.199608249946533
"1700088E04Rik"	16.4648114762674	0.206318054800631	0.783507853574505	0.0920884198987224	0.954999740767239	0.978719578125218
"1700093K21Rik"	166.429497776965	1.05132666265746	0.263657675048819	35.3603056275571	2.09704231422563e-08	3.25561299795783e-07
"1700094D03Rik"	14.5868711667644	-0.096643403551767	0.842523979608869	0.113701385159509	0.944735114799503	0.973422795153445
"1700094J05Rik"	16.9901512886131	-0.159106365952031	0.794149777178296	0.178677421907494	0.91453575782965	0.961450427835068
"1700096K18Rik"	17.0389819140365	-0.103561707873276	0.851744514695501	1.42111847624749	0.491369328148291	0.697994502547474
